Year	RSDN(1)_Night=0	RSUP(1)_Night=0	RLDN(1)	RLUP(1)	RNET(1)	PPT(1)	NEE 	GPP	RE 	ET	H	LE	 T_AIR(1)	T_SOIL
2010	6979.38	272.3867004	16693.26998	19116.75639	4283.506893	0	-3.5287696	8.438533	4.909763	1.63418	1745.480985	2215.221744	15.35751875	9.083439583
2010	3757.87	146.0710964	16364.11803	18347.3481	1628.568832	4	0.7317549	3.62171	4.353464	0.358977	182.3815775	486.6131036	12.30435708	9.294752083
2010	3825.7	126.4047897	16238.98673	17660.31823	2277.963705	4	-0.0684207	3.87426	3.80584	1.267662	251.5687833	1718.386918	9.245285	8.428770833
2010	6842.59	270.4177709	15531.1456	17320.47028	4782.847549	3	-3.0950674	6.597637	3.50257	1.597124	1749.490215	2164.990455	7.405978542	7.578802083
2010	12839.37	735.4208827	13162.16465	17390.98524	7875.128528	0.5	-4.6348647	8.2781	3.643235	2.006788	3890.417026	2720.312688	7.810236504	6.89990625
2010	13244.7	700.9435976	13574.41566	18068.23765	8049.934412	0	-3.6257096	7.890787	4.265078	1.885166	4865.729696	2555.446929	10.85106131	7.227966667
2010	4232.86	190.5982701	16136.46424	17961.04902	2217.676951	26	-0.7418019	4.936537	4.194735	0.781683	886.4499294	1059.614293	10.51625063	8.13974375
2010	3979.27	229.8083558	15195.44274	17127.00084	1817.903546	5.5	0.0658768	3.505684	3.571561	1.015395	-1117.560978	1376.424837	7.139916458	7.841716667
2010	2468.76	95.43247039	14159.33412	16311.60926	221.0523955	11	0.7234018	2.172241	2.895643	0.516251	-359.6483801	699.8069189	3.338893119	5.476277083
2010	13800.92	753.6207951	13362.53436	17281.39127	9128.442295	0.5	-5.9271557	9.646872	3.719716	3.021298	3810.4694	4095.537316	7.545635417	5.989960417
2010	8577.44	477.4408531	14177.3377	17457.69186	4819.64499	0	-4.8690301	8.787711	3.918681	1.637658	3095.778729	2219.935811	8.45070375	6.736797917
2010	13582.65	736.8852584	13302.39853	17729.78191	8418.381363	0	-4.8076346	8.986001	4.178367	1.83309	4970.246125	2484.855884	9.401327938	6.887285417
2010	13153.45	681.2052576	14675.16863	18852.00429	8295.409086	0	-2.8321949	8.091533	5.259338	1.888409	4821.415383	2559.842813	14.45477479	8.317289583
2010	1779.24	54.77365415	17972.18884	19489.90407	206.7511173	0	2.2888803	3.59166	5.88054	0.626181	-295.996955	848.8233081	17.26087292	10.57697292
2010	4056.87	106.2963842	18105.65212	20101.59761	1954.628134	0	0.7105108	5.737513	6.448023	0.985816	-177.3017366	1336.32867	19.39487292	12.50558333
2010	8722.25	403.2526188	17102.52658	19962.14451	5459.379444	0	-0.9081935	7.307454	6.39926	1.639897	2195.212765	2222.97128	18.72033333	12.39902083
2010	4320.76	187.7181741	16965.97175	18733.81533	2365.198251	25.5	-0.1627931	5.528805	5.366012	1.564741	-184.2508243	2121.093039	13.83131292	12.9268125
2010	15064.84	860.068207	14058.07462	18628.78056	9634.065853	0	-3.4773328	8.84662	5.369287	2.880718	5384.232891	3904.973796	13.43627229	10.7792
2010	13360.06	699.9936833	14768.61126	18935.81123	8492.866346	0	-2.7594539	8.45843	5.698976	2.121916	4289.133605	2876.374825	14.52046438	10.855525
2010	11161.23	518.9026941	16245.24007	19526.98785	7360.57952	0	-1.7276527	7.999604	6.271951	1.629781	3051.630314	2209.258521	16.82411292	11.57235417
2010	13971.78	760.2808705	15648.63924	19235.68856	9624.449807	0	-3.4523001	9.489718	6.037418	2.23764	4526.00601	3033.245176	15.73261542	11.88879167
2010	4000.82	188.3715421	15183.54789	17878.90893	1117.087415	2.5	-0.9832539	5.785456	4.802202	1.033895	654.3966447	1401.502135	10.26869375	10.43278333
2010	13350.23	760.4787045	14343.84987	18279.22395	8654.377218	0	-5.2901684	10.47075	5.180581	3.156413	4425.153007	4278.693018	11.68639896	10.12095833
2010	9977.45	472.0959548	15056.14781	18625.25719	5936.244668	0	-3.8602565	9.404277	5.54402	1.933225	3022.164713	2620.593225	13.09602917	10.3579125
2010	14828.87	827.9538172	14853.68318	19206.73633	9647.863039	0	-2.4084523	8.557728	6.149276	2.663519	5284.778185	3610.547387	15.49556375	10.79024167
2010	11914.65	721.7021088	15256.52875	18870.75863	7578.71801	0	-4.8890706	10.78197	5.892899	2.701783	4479.675641	3662.417467	14.3551725	11.06441667
2010	15079.62	865.3022786	15266.14194	19475.18813	10005.27154	0	-2.0321578	8.495574	6.463416	3.129303	5856.596681	4241.943598	16.51253146	11.30596458
2010	11811.84	702.3883349	16912.97588	19900.34678	8122.080765	0	-1.1206592	8.049409	6.92875	2.897398	4391.262993	3927.583977	18.30259542	12.3575625
2010	1272.83	59.05046107	18871.08437	19342.75301	742.1109003	61	5.0583002	1.367746	6.426046	1.421312	-2233.591604	1926.666856	16.23238125	13.83539583
2010	10185.66	621.5017641	17115.24502	19569.53353	7109.869724	0.5	-3.602768	10.25458	6.651814	2.966084	1756.20263	4020.691443	16.99514167	14.34
2010	13973.9	918.579047	16066.03304	19758.05358	9363.300417	0	-3.3590916	10.26354	6.904445	3.178068	4474.282842	4308.048225	17.80776042	13.86475
2010	14032	897.6628233	16296.64366	20164.28379	9266.697043	0	-1.6442568	9.001589	7.357332	3.581375	4125.760387	4854.752481	19.44115	14.17910417
2010	4679.74	149.6723402	18026.38724	19882.74464	2673.710255	1.5	0.4922813	6.70044	7.192721	1.591242	29.35642678	2157.01639	18.71920208	14.25154167
2010	1073.39	68.55925427	17973.15962	19062.27185	-84.28148117	12	4.3351314	2.15435	6.489481	1.729782	-2770.645098	2344.815299	15.86574583	13.68441667
2010	3101.22	179.2743651	17875.59678	18438.78012	2358.762296	13	-0.9454702	6.60849	5.66302	0.532294	152.4475745	721.5543763	12.46976667	12.868
2010	3244.07	72.39620907	17444.80804	18779.2323	1837.249531	0	-2.2982653	8.263972	5.965706	0.739504	394.634534	1002.438668	13.55607708	12.63797917
2010	10103	631.6128187	16675.19935	19150.00007	6996.586463	0.5	-5.2516364	11.76129	6.509652	3.007045	1735.379914	4076.215907	15.56592083	13.078625
2010	12762.8	704.3309437	15566.68369	19192.01489	8433.137855	0	-4.868383	11.42062	6.55224	3.187729	3401.491498	4321.144251	15.52882292	12.50795833
2010	7504.95	395.6664663	16832.55461	19238.70891	4703.129233	0	-6.2834076	12.90153	6.618124	1.860723	1869.076092	2522.312844	15.72714375	13.0405
2010	9502.96	480.0556372	17365.31748	19604.23609	6783.985756	0	-4.0167793	10.99363	6.976854	1.669619	2376.550383	2263.261578	16.98402917	13.64558333
2010	11479.2	619.037346	16392.95556	19488.92857	7764.189641	0	-5.6383479	12.61057	6.972223	3.407744	3884.268006	4619.385799	16.82387708	13.51152083
2010	9056.36	499.2008985	16868.09312	19427.88541	5997.366803	0	-4.6176527	11.57108	6.953427	2.169521	1903.216148	2940.906717	16.6596375	13.55510417
2010	16511.9	949.223194	14711.08267	19532.29213	10741.46734	0	-2.2262514	9.264444	7.038192	3.564181	4805.680431	4831.446005	16.766105	13.04395833
2010	14877.88	871.2499376	15686.10106	19808.99697	9883.734158	0	-3.7298011	11.12772	7.397914	3.4723	4690.586446	4706.895501	18.00363542	13.37860417
2010	15369.01	924.4699912	16179.32903	20114.27177	10509.59726	0	-5.4062852	13.14694	7.740657	3.553487	5478.375426	4816.949025	19.23032708	14.1485625
2010	15427.69	900.1865925	16452.40335	20361.46922	10618.43754	0	-3.9200836	11.92878	8.008695	3.960262	5143.567096	5368.355569	20.15117083	14.76652083
2010	14429.2	852.0659314	17051.04295	20677.24617	9950.930849	0	-2.5402265	10.90877	8.368543	4.451381	4458.7565	6034.094245	21.40408542	15.32185417
2010	13527.78	780.1953568	17262.48877	20543.01841	9467.055003	0.5	-1.6815666	9.949107	8.26754	3.756526	4685.191152	5092.179406	20.97097708	15.77425
2010	13990.28	715.3228907	17604.53199	20900.94741	9978.541692	0.5	-1.1082001	9.720022	8.611822	3.719381	2733.150567	5041.827081	22.150475	16.00379167
2010	15875.08	846.9076302	16843.45274	20997.70065	10873.92445	0	0.2116483	8.872191	9.083839	3.993478	4258.197131	5413.381736	22.5904125	16.0450625
2010	14831.1	810.5221727	17547.94853	21120.082	10448.44436	0	0.2218114	9.340421	9.562232	3.743757	4891.972158	5074.871074	23.01524583	16.48004167
2010	12488.07	657.4273296	17793.3176	21273.01597	8350.944299	0	-1.2536294	11.39362	10.13999	4.032753	2828.249636	5466.620156	23.73129167	17.007625
2010	11233.49	596.5102904	17807.71814	21060.99748	7383.700363	0	-2.005877	12.28305	10.27717	3.688008	2257.136231	4999.299399	23.02805417	16.77264583
2010	2053.86	118.5311053	19145.29725	19601.1042	1479.521942	65	5.2262102	3.446715	8.672925	0.357156	229.0675006	484.1449942	17.12923958	16.53785417
2010	9153.13	378.9475766	19457.77	20521.32732	7710.625103	13.5	0.2801232	9.1209	9.401023	2.826227	1753.938217	3831.108159	20.46778125	17.00075
2010	4485.77	117.8833478	19498.89656	20701.78165	3165.001559	59	3.4975091	5.752968	9.250477	0.98066	279.2908307	1329.339563	21.22695208	18.34704167
2010	10749.14	517.0368784	18783.72172	21160.81604	7855.008802	0	-1.8950306	11.35912	9.464088	4.356324	1558.759445	5905.23891	23.25251667	18.78764583
